SampleID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,subtype
1,0.805,0.0625,0.04,0.0325,0.0275,0.005,0.0025,0.0125,0.01,0.0,0.0,0.0025,0.0,0.0,0.0,Mixed
2,0.8125,0.075,0.0375,0.0225,0.0175,0.02,0.0,0.0075,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,Mixed
3,0.8675,0.0375,0.015,0.04,0.025,0.0025,0.0025,0.0025,0.005,0.0,0.0,0.0025,0.0,0.0,0.0,Compartimentalized
4,0.8525,0.0275,0.025,0.065,0.0175,0.005,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.0,Compartimentalized
5,0.8425,0.0575,0.03,0.0375,0.0275,0.0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0,Compartimentalized
6,0.855,0.055,0.045,0.0125,0.0125,0.0025,0.0075,0.0,0.005,0.0025,0.0,0.0,0.0025,0.0,0.0,Compartimentalized
7,0.8625,0.0375,0.03,0.03,0.0125,0.0125,0.0025,0.005,0.0,0.0025,0.0,0.0,0.005,0.0,0.0,Mixed
8,0.8725,0.05,0.0325,0.0175,0.0175,0.0,0.005,0.0025,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,Mixed
9,0.8275,0.06,0.04,0.03,0.0225,0.005,0.0025,0.0025,0.0075,0.0,0.0,0.0025,0.0,0.0,0.0,Compartimentalized
10,0.895,0.035,0.0125,0.035,0.0075,0.0025,0.0,0.0,0.01,0.0,0.0,0.0025,0.0,0.0,0.0,Compartimentalized
11,0.835,0.0425,0.055,0.025,0.015,0.005,0.0,0.0125,0.0075,0.0,0.0,0.0025,0.0,0.0,0.0,Mixed
12,0.8325,0.055,0.02,0.045,0.03,0.0075,0.0025,0.0025,0.005,0.0,0.0,0.0,0.0,0.0,0.0,Mixed
13,0.905,0.02,0.005,0.055,0.0025,0.0075,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mixed
14,0.7875,0.0875,0.045,0.0075,0.04,0.01,0.0125,0.005,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0,Mixed
15,0.7475,0.0925,0.075,0.0025,0.055,0.0025,0.02,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,Cold
16,0.875,0.045,0.0175,0.04,0.0075,0.0025,0.0,0.0025,0.01,0.0,0.0,0.0,0.0,0.0,0.0,Compartimentalized
17,0.8575,0.0375,0.0275,0.025,0.02,0.01,0.0025,0.0075,0.005,0.0,0.0,0.005,0.0025,0.0,0.0,Mixed
18,0.785,0.0675,0.0625,0.005,0.035,0.0025,0.025,0.01,0.0,0.0025,0.005,0.0,0.0,0.0,0.0,Mixed
19,0.9,0.0275,0.0325,0.01,0.01,0.0,0.0075,0.005,0.0,0.005,0.0,0.0,0.0,0.0025,0.0,Cold
20,0.7925,0.045,0.0675,0.0325,0.0375,0.005,0.0,0.015,0.0025,0.0,0.0025,0.0,0.0,0.0,0.0,Mixed
21,0.8175,0.0625,0.07,0.01,0.025,0.0025,0.0025,0.0025,0.0,0.0,0.005,0.0,0.0025,0.0,0.0,Mixed
22,0.76,0.0975,0.0675,0.0075,0.0275,0.0,0.0175,0.0075,0.0025,0.005,0.0025,0.0,0.0,0.0025,0.0025,Cold
23,0.7725,0.095,0.06,0.0125,0.025,0.0025,0.0125,0.005,0.005,0.005,0.005,0.0,0.0,0.0,0.0,Mixed
24,0.7425,0.09,0.0575,0.0,0.06,0.0025,0.015,0.0025,0.005,0.0075,0.0075,0.0,0.0075,0.0,0.0025,Cold
25,0.9025,0.0425,0.025,0.0075,0.01,0.0,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0025,Cold
26,0.8575,0.045,0.0425,0.005,0.03,0.0,0.005,0.005,0.0,0.0025,0.0025,0.0,0.0,0.005,0.0,Cold
27,0.8,0.0725,0.0525,0.0175,0.0325,0.005,0.0025,0.005,0.0025,0.0025,0.0025,0.0,0.0,0.005,0.0,Mixed
28,0.8775,0.06,0.0175,0.0225,0.015,0.0025,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Compartimentalized
29,0.845,0.04,0.025,0.04,0.0175,0.0175,0.005,0.0075,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,Mixed
31,0.8075,0.06,0.035,0.015,0.0475,0.0125,0.01,0.0025,0.0075,0.0025,0.0,0.0,0.0,0.0,0.0,Mixed
32,0.9125,0.0175,0.015,0.035,0.0025,0.005,0.0025,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0,Compartimentalized
33,0.9025,0.0275,0.0225,0.015,0.0175,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0025,Mixed
34,0.8675,0.035,0.0225,0.03,0.015,0.0075,0.005,0.005,0.0025,0.005,0.0025,0.0025,0.0,0.0,0.0,Compartimentalized
35,0.9125,0.0175,0.0025,0.0625,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Compartimentalized
36,0.94,0.015,0.0025,0.04,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,Compartimentalized
37,0.8875,0.04,0.005,0.06,0.005,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Compartimentalized
38,0.795,0.0725,0.05,0.03,0.025,0.01,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0025,Mixed
39,0.8425,0.0425,0.03,0.05,0.0125,0.01,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,Mixed
40,0.9,0.025,0.0225,0.035,0.0075,0.0025,0.0025,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Compartimentalized
41,0.9125,0.025,0.0,0.0425,0.0075,0.0025,0.0,0.0075,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,Compartimentalized
